cat__Type_H,cat__Type_L,cat__Type_M,num__Air temperature [K],num__Process temperature [K],num__Rotational speed [rpm],num__Torque [Nm],num__Tool wear [min],num__Difference temperature [K],num__Power,No Failure,With_Failure
0.0,0.0,1.0,-0.1608597240611222,0.32925811060955457,-0.2708721707801288,0.12198678384011387,0.28666445473941315,0.8074745755447053,0.1428903487202882,True,False
0.0,1.0,0.0,-1.064783886916222,-0.6859075607052092,-0.4573638104290723,0.6477253729203372,-0.878808024929952,1.1077136073045786,0.7574429680293164,True,False
0.0,0.0,1.0,0.09023032117640395,1.2090683590823577,1.1442702712618542,-1.1378019107483466,1.2001428847505373,1.6081119935710122,-0.9828813114135734,True,False
0.0,0.0,1.0,0.7430644387939777,0.4646135334515154,-0.9894134882510581,0.7072429490426267,0.11341854559937238,-0.7938002605079054,0.3979063335124083,True,False
0.0,0.0,1.0,0.44175638450893484,1.412101493345318,-1.3294864781991316,0.8560368893483503,-0.5008169504425903,1.2077932845578845,0.3030671254629287,True,False
0.0,1.0,0.0,-0.4621677783461364,-1.227329252073091,-1.2088154172498151,2.016629623732994,-1.1308020745881933,-0.8938799377612149,1.9086782792830588,True,False
0.0,1.0,0.0,1.1448085111740252,0.532291244872515,-0.40799837640435194,0.3798962803700343,-1.5875412895937553,-1.4943580012809012,0.4132896091794051,True,False
0.0,0.0,1.0,-0.41194976929864835,-1.09197382923113,-0.7864667039272079,0.8461172933279687,-1.6190405458010353,-0.7938002605079054,0.7576375698720362,True,False
0.0,0.0,1.0,1.1448085111740252,1.2767460705033187,-0.17214130273068814,0.23110234006431063,0.8064021821595355,-0.39348155149478115,0.37645148035255377,True,False
0.0,1.0,0.0,-0.06042370596611745,-0.41519671502128763,1.747625576008436,-1.732977671971241,-1.3512968680391542,-0.49356122874803376,-1.7625535942703259,True,False
0.0,1.0,0.0,0.29110235736644197,0.1262249763465941,-0.5067292444537926,0.5882077967980476,-1.4300450085573546,-0.39348155149478115,0.6322458725155536,True,False
0.0,1.0,0.0,2.14916869212413,2.359589453239082,0.2776326517167638,-1.0088471624833861,-1.4300450085573546,-0.7938002605079054,-1.2199063558462515,True,False
0.0,1.0,0.0,-1.466527959296241,-1.4303623863360515,-1.0826593080755298,0.9056348694502583,1.1213947442323369,0.8074745755446501,0.5811531587094779,True,False
0.0,1.0,0.0,0.29110235736644197,0.1262249763465941,-1.214300465474784,1.094107193837508,-1.5717916614901153,-0.39348155149478115,0.7101547202484128,True,False
1.0,0.0,0.0,-1.6171819864387624,-1.3626846749150519,-0.4738189551039791,1.094107193837508,-1.3197976118318742,1.2077932845578294,1.3800715638112158,True,False
0.0,0.0,1.0,1.7474246197440821,1.61513462760824,0.3653934233162666,-0.9790883744222412,-0.15432513216250882,-1.094039292267777,-1.1266336926306657,True,False
